Dataset,Modèle,Famille,Taille (B),Baseline Acc,RAG Acc,RAG Acc EN,Delta Acc,Delta Acc (rel%),Delta EN-FR,Baseline F1,RAG F1,Delta F1,Hit Rate@5 FR,Hit Rate@5 EN,Temps Baseline (s),Temps RAG (s)
GeoSQA,Qwen3-0.6B,Qwen,0.6,0.275,0.26,0,-0.015000000000000013,-5.5,,0.000625,0.0038888888888888883,0.0032638888888888882,0.06,0,119.85594129562378,199.76226687431335
GeoSQA,Qwen3-1.7B,Qwen,1.7,0.39,0.335,0,-0.05499999999999999,-14.1,,0.005824346405228758,0.008680555555555556,0.002856209150326798,0.06,0,97.38199281692505,285.1197364330292
GeoSQA,Llama-3.2-1B,Llama,1.0,0.275,0.205,0,-0.07000000000000003,-25.5,,0.006196751777634131,0.002394230769230769,-0.003802521008403362,0.06,0,135.47213196754456,306.4529559612274
GeoSQA,Llama-3.2-3B,Llama,3.0,0.27,0.23,0,-0.04000000000000001,-14.8,,0.0017687908496732024,0.0047132352941176466,0.002944444444444444,0.06,0,270.9300456047058,577.0728781223297
GKMC,Qwen3-0.6B,Qwen,0.6,0.42,0.415,0,-0.0050000000000000044,-1.2,,0.0,0.0,0.0,0.075,0,91.78700542449951,149.4030270576477
GKMC,Qwen3-1.7B,Qwen,1.7,0.585,0.605,0,0.020000000000000018,3.4,,0.0,0.0,0.0,0.075,0,87.27654361724854,254.08924961090088
GKMC,Llama-3.2-1B,Llama,1.0,0.33,0.335,0,0.0050000000000000044,1.5,,0.0,0.0,0.0,0.075,0,150.4655373096466,299.5535583496094
GKMC,Llama-3.2-3B,Llama,3.0,0.565,0.485,0,-0.07999999999999996,-14.2,,0.0,0.0,0.0,0.075,0,136.1329550743103,478.630007982254
TourismQA,Qwen3-0.6B,Qwen,0.6,0.56,0.57,0,0.009999999999999898,1.8,,0.5225411255411255,0.5439047619047619,0.021363636363636362,0.48,0,35.56581234931946,54.573344469070435
TourismQA,Qwen3-1.7B,Qwen,1.7,0.59,0.59,0,0.0,0.0,,0.595,0.599,0.0040000000000000036,0.48,0,50.67161011695862,78.36783742904663
TourismQA,Llama-3.2-1B,Llama,1.0,0.52,0.41,0,-0.11000000000000004,-21.2,,0.523,0.4286666666666667,-0.09433333333333332,0.48,0,39.56393265724182,55.43862557411194
TourismQA,Llama-3.2-3B,Llama,3.0,0.7,0.54,0,-0.15999999999999992,-22.9,,0.7,0.545,-0.15499999999999992,0.48,0,90.22018337249756,139.46420693397522
